content,month_str,quarter_str,year_str,value,,
Acquisitions,1993-04,1993-Q2,1993,1,,
Acquisitions,1993-05,1993-Q2,1993,2,,
Acquisitions,1993-06,1993-Q2,1993,1,,
Acquisitions,1993-07,1993-Q3,1993,1,,
Acquisitions,1993-08,1993-Q3,1993,1,,
Acquisitions,1993-09,1993-Q3,1993,3,,
Acquisitions,1994-07,1994-Q3,1994,1,,
Acquisitions,1994-08,1994-Q3,1994,1,,
Acquisitions,1994-09,1994-Q3,1994,1,,
Acquisitions,1994-10,1994-Q4,1994,2,,
Acquisitions,1994-11,1994-Q4,1994,4,,
Acquisitions,1994-12,1994-Q4,1994,2,,
Acquisitions,1995-01,1995-Q1,1995,6,,
Acquisitions,1995-02,1995-Q1,1995,1,,
Acquisitions,1995-04,1995-Q2,1995,1,,
Acquisitions,1995-05,1995-Q2,1995,1,,
Acquisitions,1995-06,1995-Q2,1995,1,,
Acquisitions,1995-07,1995-Q3,1995,2,,
Acquisitions,1995-08,1995-Q3,1995,3,,
Acquisitions,1995-09,1995-Q3,1995,2,,
Acquisitions,1995-10,1995-Q4,1995,3,,
Acquisitions,1995-11,1995-Q4,1995,2,,
Acquisitions,1995-12,1995-Q4,1995,2,,
Acquisitions,1996-01,1996-Q1,1996,9,,
Acquisitions,1996-02,1996-Q1,1996,2,,
Acquisitions,1996-03,1996-Q1,1996,2,,
Acquisitions,1996-04,1996-Q2,1996,4,,
Acquisitions,1996-05,1996-Q2,1996,1,,
Acquisitions,1996-06,1996-Q2,1996,4,,
Acquisitions,1996-07,1996-Q3,1996,2,,
Acquisitions,1996-08,1996-Q3,1996,4,,
Acquisitions,1996-10,1996-Q4,1996,1,,
Acquisitions,1996-11,1996-Q4,1996,2,,
Acquisitions,1996-12,1996-Q4,1996,2,,
Acquisitions,1997-01,1997-Q1,1997,5,,
Acquisitions,1997-02,1997-Q1,1997,1,,
Acquisitions,1997-03,1997-Q1,1997,3,,
Acquisitions,1997-04,1997-Q2,1997,3,,
Acquisitions,1997-06,1997-Q2,1997,7,,
Acquisitions,1997-07,1997-Q3,1997,3,,
Acquisitions,1997-08,1997-Q3,1997,2,,
Acquisitions,1997-09,1997-Q3,1997,7,,
Acquisitions,1997-10,1997-Q4,1997,1,,
Acquisitions,1997-11,1997-Q4,1997,3,,
Acquisitions,1997-12,1997-Q4,1997,5,,
Acquisitions,1998-01,1998-Q1,1998,7,,
Acquisitions,1998-02,1998-Q1,1998,1,,
Acquisitions,1998-03,1998-Q1,1998,4,,
Acquisitions,1998-04,1998-Q2,1998,3,,
Acquisitions,1998-05,1998-Q2,1998,1,,
Acquisitions,1998-06,1998-Q2,1998,5,,
Acquisitions,1998-07,1998-Q3,1998,4,,
Acquisitions,1998-08,1998-Q3,1998,5,,
Acquisitions,1998-09,1998-Q3,1998,5,,
Acquisitions,1998-10,1998-Q4,1998,5,,
Acquisitions,1998-11,1998-Q4,1998,2,,
Acquisitions,1998-12,1998-Q4,1998,6,,
Acquisitions,1999-01,1999-Q1,1999,12,,
Acquisitions,1999-02,1999-Q1,1999,5,,
Acquisitions,1999-03,1999-Q1,1999,5,,
Acquisitions,1999-04,1999-Q2,1999,11,,
Acquisitions,1999-05,1999-Q2,1999,7,,
Acquisitions,1999-06,1999-Q2,1999,13,,
Acquisitions,1999-07,1999-Q3,1999,7,,
Acquisitions,1999-08,1999-Q3,1999,7,,
Acquisitions,1999-09,1999-Q3,1999,10,,
Acquisitions,1999-10,1999-Q4,1999,8,,
Acquisitions,1999-11,1999-Q4,1999,8,,
Acquisitions,1999-12,1999-Q4,1999,9,,
Acquisitions,2000-01,2000-Q1,2000,19,,
Acquisitions,2000-02,2000-Q1,2000,7,,
Acquisitions,2000-03,2000-Q1,2000,15,,
Acquisitions,2000-04,2000-Q2,2000,7,,
Acquisitions,2000-05,2000-Q2,2000,2,,
Acquisitions,2000-06,2000-Q2,2000,10,,
Acquisitions,2000-07,2000-Q3,2000,6,,
Acquisitions,2000-08,2000-Q3,2000,8,,
Acquisitions,2000-09,2000-Q3,2000,7,,
Acquisitions,2000-10,2000-Q4,2000,4,,
Acquisitions,2000-11,2000-Q4,2000,5,,
Acquisitions,2000-12,2000-Q4,2000,6,,
Acquisitions,2001-01,2001-Q1,2001,9,,
Acquisitions,2001-02,2001-Q1,2001,9,,
Acquisitions,2001-03,2001-Q1,2001,11,,
Acquisitions,2001-04,2001-Q2,2001,5,,
Acquisitions,2001-05,2001-Q2,2001,8,,
Acquisitions,2001-06,2001-Q2,2001,5,,
Acquisitions,2001-07,2001-Q3,2001,8,,
Acquisitions,2001-08,2001-Q3,2001,2,,
Acquisitions,2001-09,2001-Q3,2001,5,,
Acquisitions,2001-10,2001-Q4,2001,2,,
Acquisitions,2001-12,2001-Q4,2001,3,,
Acquisitions,2002-01,2002-Q1,2002,12,,
Acquisitions,2002-02,2002-Q1,2002,5,,
Acquisitions,2002-03,2002-Q1,2002,1,,
Acquisitions,2002-04,2002-Q2,2002,6,,
Acquisitions,2002-05,2002-Q2,2002,5,,
Acquisitions,2002-06,2002-Q2,2002,10,,
Acquisitions,2002-07,2002-Q3,2002,5,,
Acquisitions,2002-08,2002-Q3,2002,4,,
Acquisitions,2002-09,2002-Q3,2002,8,,
Acquisitions,2002-10,2002-Q4,2002,9,,
Acquisitions,2002-11,2002-Q4,2002,2,,
Acquisitions,2002-12,2002-Q4,2002,4,,
Acquisitions,2003-01,2003-Q1,2003,12,,
Acquisitions,2003-02,2003-Q1,2003,5,,
Acquisitions,2003-03,2003-Q1,2003,3,,
Acquisitions,2003-04,2003-Q2,2003,6,,
Acquisitions,2003-05,2003-Q2,2003,4,,
Acquisitions,2003-06,2003-Q2,2003,3,,
Acquisitions,2003-07,2003-Q3,2003,10,,
Acquisitions,2003-08,2003-Q3,2003,8,,
Acquisitions,2003-09,2003-Q3,2003,8,,
Acquisitions,2003-10,2003-Q4,2003,9,,
Acquisitions,2003-11,2003-Q4,2003,6,,
Acquisitions,2003-12,2003-Q4,2003,2,,
Acquisitions,2004-01,2004-Q1,2004,22,,
Acquisitions,2004-02,2004-Q1,2004,6,,
Acquisitions,2004-03,2004-Q1,2004,18,,
Acquisitions,2004-04,2004-Q2,2004,7,,
Acquisitions,2004-05,2004-Q2,2004,10,,
Acquisitions,2004-06,2004-Q2,2004,8,,
Acquisitions,2004-07,2004-Q3,2004,11,,
Acquisitions,2004-08,2004-Q3,2004,7,,
Acquisitions,2004-09,2004-Q3,2004,13,,
Acquisitions,2004-10,2004-Q4,2004,17,,
Acquisitions,2004-11,2004-Q4,2004,9,,
Acquisitions,2004-12,2004-Q4,2004,11,,
Acquisitions,2005-01,2005-Q1,2005,25,,
Acquisitions,2005-02,2005-Q1,2005,15,,
Acquisitions,2005-03,2005-Q1,2005,16,,
Acquisitions,2005-04,2005-Q2,2005,14,,
Acquisitions,2005-05,2005-Q2,2005,12,,
Acquisitions,2005-06,2005-Q2,2005,17,,
Acquisitions,2005-07,2005-Q3,2005,20,,
Acquisitions,2005-08,2005-Q3,2005,19,,
Acquisitions,2005-09,2005-Q3,2005,18,,
Acquisitions,2005-10,2005-Q4,2005,13,,
Acquisitions,2005-11,2005-Q4,2005,15,,
Acquisitions,2005-12,2005-Q4,2005,19,,
Acquisitions,2006-01,2006-Q1,2006,51,,
Acquisitions,2006-02,2006-Q1,2006,17,,
Acquisitions,2006-03,2006-Q1,2006,18,,
Acquisitions,2006-04,2006-Q2,2006,23,,
Acquisitions,2006-05,2006-Q2,2006,19,,
Acquisitions,2006-06,2006-Q2,2006,22,,
Acquisitions,2006-07,2006-Q3,2006,17,,
Acquisitions,2006-08,2006-Q3,2006,22,,
Acquisitions,2006-09,2006-Q3,2006,21,,
Acquisitions,2006-10,2006-Q4,2006,29,,
Acquisitions,2006-11,2006-Q4,2006,27,,
Acquisitions,2006-12,2006-Q4,2006,23,,
Acquisitions,2007-01,2007-Q1,2007,44,,
Acquisitions,2007-02,2007-Q1,2007,27,,
Acquisitions,2007-03,2007-Q1,2007,37,,
Acquisitions,2007-04,2007-Q2,2007,32,,
Acquisitions,2007-05,2007-Q2,2007,53,,
Acquisitions,2007-06,2007-Q2,2007,42,,
Acquisitions,2007-07,2007-Q3,2007,45,,
Acquisitions,2007-08,2007-Q3,2007,40,,
Acquisitions,2007-09,2007-Q3,2007,34,,
Acquisitions,2007-10,2007-Q4,2007,48,,
Acquisitions,2007-11,2007-Q4,2007,32,,
Acquisitions,2007-12,2007-Q4,2007,39,,
Acquisitions,2008-01,2008-Q1,2008,88,,
Acquisitions,2008-02,2008-Q1,2008,48,,
Acquisitions,2008-03,2008-Q1,2008,54,,
Acquisitions,2008-04,2008-Q2,2008,92,,
Acquisitions,2008-05,2008-Q2,2008,143,,
Acquisitions,2008-06,2008-Q2,2008,75,,
Acquisitions,2008-07,2008-Q3,2008,147,,
Acquisitions,2008-08,2008-Q3,2008,92,,
Acquisitions,2008-09,2008-Q3,2008,120,,
Acquisitions,2008-10,2008-Q4,2008,96,,
Acquisitions,2008-11,2008-Q4,2008,69,,
Acquisitions,2008-12,2008-Q4,2008,78,,
Acquisitions,2009-01,2009-Q1,2009,128,,
Acquisitions,2009-02,2009-Q1,2009,81,,
Acquisitions,2009-03,2009-Q1,2009,75,,
Acquisitions,2009-04,2009-Q2,2009,101,,
Acquisitions,2009-05,2009-Q2,2009,60,,
Acquisitions,2009-06,2009-Q2,2009,87,,
Acquisitions,2009-07,2009-Q3,2009,94,,
Acquisitions,2009-08,2009-Q3,2009,77,,
Acquisitions,2009-09,2009-Q3,2009,92,,
Acquisitions,2009-10,2009-Q4,2009,108,,
Acquisitions,2009-11,2009-Q4,2009,121,,
Acquisitions,2009-12,2009-Q4,2009,149,,
Acquisitions,2010-01,2010-Q1,2010,177,,
Acquisitions,2010-02,2010-Q1,2010,120,,
Acquisitions,2010-03,2010-Q1,2010,135,,
Acquisitions,2010-04,2010-Q2,2010,120,,
Acquisitions,2010-05,2010-Q2,2010,132,,
Acquisitions,2010-06,2010-Q2,2010,165,,
Acquisitions,2010-07,2010-Q3,2010,98,,
Acquisitions,2010-08,2010-Q3,2010,99,,
Acquisitions,2010-09,2010-Q3,2010,152,,
Acquisitions,2010-10,2010-Q4,2010,124,,
Acquisitions,2010-11,2010-Q4,2010,110,,
Acquisitions,2010-12,2010-Q4,2010,152,,
Acquisitions,2011-01,2011-Q1,2011,244,,
Acquisitions,2011-02,2011-Q1,2011,133,,
Acquisitions,2011-03,2011-Q1,2011,143,,
Acquisitions,2011-04,2011-Q2,2011,141,,
Acquisitions,2011-05,2011-Q2,2011,144,,
Acquisitions,2011-06,2011-Q2,2011,168,,
Acquisitions,2011-07,2011-Q3,2011,180,,
Acquisitions,2011-08,2011-Q3,2011,150,,
Acquisitions,2011-09,2011-Q3,2011,139,,
Acquisitions,2011-10,2011-Q4,2011,114,,
Acquisitions,2011-11,2011-Q4,2011,119,,
Acquisitions,2011-12,2011-Q4,2011,138,,
Acquisitions,2012-01,2012-Q1,2012,173,,
Acquisitions,2012-02,2012-Q1,2012,130,,
Acquisitions,2012-03,2012-Q1,2012,131,,
Acquisitions,2012-04,2012-Q2,2012,117,,
Acquisitions,2012-05,2012-Q2,2012,143,,
Acquisitions,2012-06,2012-Q2,2012,124,,
Acquisitions,2012-07,2012-Q3,2012,126,,
Acquisitions,2012-08,2012-Q3,2012,124,,
Acquisitions,2012-09,2012-Q3,2012,126,,
Acquisitions,2012-10,2012-Q4,2012,133,,
Acquisitions,2012-11,2012-Q4,2012,125,,
Acquisitions,2012-12,2012-Q4,2012,113,,
Acquisitions,2013-01,2013-Q1,2013,168,,
Acquisitions,2013-02,2013-Q1,2013,116,,
Acquisitions,2013-03,2013-Q1,2013,109,,
Acquisitions,2013-04,2013-Q2,2013,94,,
Acquisitions,2013-05,2013-Q2,2013,176,,
Acquisitions,2013-06,2013-Q2,2013,148,,
Acquisitions,2013-07,2013-Q3,2013,144,,
Acquisitions,2013-08,2013-Q3,2013,144,,
Acquisitions,2013-09,2013-Q3,2013,157,,
Acquisitions,2013-10,2013-Q4,2013,180,,
Acquisitions,2013-11,2013-Q4,2013,156,,
Acquisitions,2013-12,2013-Q4,2013,191,,
Acquisitions,2014-01,2014-Q1,2014,211,,
Acquisitions,2014-02,2014-Q1,2014,176,,
Acquisitions,2014-03,2014-Q1,2014,175,,
Acquisitions,2014-04,2014-Q2,2014,198,,
Acquisitions,2014-05,2014-Q2,2014,205,,
Acquisitions,2014-06,2014-Q2,2014,262,,
Acquisitions,2014-07,2014-Q3,2014,248,,
Acquisitions,2014-08,2014-Q3,2014,207,,
Acquisitions,2014-09,2014-Q3,2014,244,,
Acquisitions,2014-10,2014-Q4,2014,246,,
Acquisitions,2014-11,2014-Q4,2014,190,,
Acquisitions,2014-12,2014-Q4,2014,21,,
IPOs,1961-01,1961-Q1,1961,1,,
IPOs,1965-01,1965-Q1,1965,1,,
IPOs,1969-06,1969-Q2,1969,1,,
IPOs,1971-01,1971-Q1,1971,1,,
IPOs,1977-05,1977-Q2,1977,1,,
IPOs,1978-01,1978-Q1,1978,273,,
IPOs,1978-02,1978-Q1,1978,2,,
IPOs,1978-04,1978-Q2,1978,2,,
IPOs,1978-05,1978-Q2,1978,1,,
IPOs,1978-06,1978-Q2,1978,8,,
IPOs,1978-07,1978-Q3,1978,1,,
IPOs,1979-01,1979-Q1,1979,2,,
IPOs,1979-06,1979-Q2,1979,2,,
IPOs,1979-08,1979-Q3,1979,1,,
IPOs,1979-11,1979-Q4,1979,1,,
IPOs,1979-12,1979-Q4,1979,1,,
IPOs,1980-03,1980-Q1,1980,1,,
IPOs,1980-04,1980-Q2,1980,1,,
IPOs,1980-06,1980-Q2,1980,3,,
IPOs,1980-08,1980-Q3,1980,1,,
IPOs,1980-10,1980-Q4,1980,1,,
IPOs,1980-11,1980-Q4,1980,1,,
IPOs,1980-12,1980-Q4,1980,2,,
IPOs,1981-01,1981-Q1,1981,2,,
IPOs,1981-02,1981-Q1,1981,1,,
IPOs,1981-03,1981-Q1,1981,1,,
IPOs,1981-04,1981-Q2,1981,3,,
IPOs,1981-05,1981-Q2,1981,4,,
IPOs,1981-06,1981-Q2,1981,2,,
IPOs,1981-07,1981-Q3,1981,5,,
IPOs,1981-08,1981-Q3,1981,2,,
IPOs,1981-09,1981-Q3,1981,1,,
IPOs,1981-10,1981-Q4,1981,1,,
IPOs,1981-11,1981-Q4,1981,2,,
IPOs,1981-12,1981-Q4,1981,2,,
IPOs,1982-01,1982-Q1,1982,3,,
IPOs,1982-02,1982-Q1,1982,3,,
IPOs,1982-04,1982-Q2,1982,2,,
IPOs,1982-05,1982-Q2,1982,1,,
IPOs,1982-06,1982-Q2,1982,1,,
IPOs,1982-09,1982-Q3,1982,1,,
IPOs,1982-10,1982-Q4,1982,1,,
IPOs,1982-12,1982-Q4,1982,1,,
IPOs,1983-01,1983-Q1,1983,2,,
IPOs,1983-03,1983-Q1,1983,1,,
IPOs,1983-04,1983-Q2,1983,1,,
IPOs,1983-05,1983-Q2,1983,2,,
IPOs,1983-07,1983-Q3,1983,4,,
IPOs,1983-08,1983-Q3,1983,4,,
IPOs,1983-09,1983-Q3,1983,3,,
IPOs,1983-10,1983-Q4,1983,4,,
IPOs,1983-11,1983-Q4,1983,1,,
IPOs,1983-12,1983-Q4,1983,8,,
IPOs,1984-01,1984-Q1,1984,5,,
IPOs,1984-02,1984-Q1,1984,3,,
IPOs,1984-03,1984-Q1,1984,3,,
IPOs,1984-04,1984-Q2,1984,2,,
IPOs,1984-05,1984-Q2,1984,2,,
IPOs,1984-06,1984-Q2,1984,4,,
IPOs,1984-07,1984-Q3,1984,2,,
IPOs,1984-08,1984-Q3,1984,3,,
IPOs,1984-10,1984-Q4,1984,1,,
IPOs,1984-12,1984-Q4,1984,2,,
IPOs,1985-02,1985-Q1,1985,1,,
IPOs,1985-03,1985-Q1,1985,1,,
IPOs,1985-04,1985-Q2,1985,1,,
IPOs,1985-05,1985-Q2,1985,3,,
IPOs,1985-06,1985-Q2,1985,2,,
IPOs,1985-07,1985-Q3,1985,1,,
IPOs,1985-08,1985-Q3,1985,4,,
IPOs,1985-09,1985-Q3,1985,3,,
IPOs,1985-10,1985-Q4,1985,3,,
IPOs,1985-11,1985-Q4,1985,1,,
IPOs,1985-12,1985-Q4,1985,2,,
IPOs,1986-01,1986-Q1,1986,1,,
IPOs,1986-02,1986-Q1,1986,3,,
IPOs,1986-03,1986-Q1,1986,2,,
IPOs,1986-04,1986-Q2,1986,5,,
IPOs,1986-05,1986-Q2,1986,5,,
IPOs,1986-06,1986-Q2,1986,4,,
IPOs,1986-07,1986-Q3,1986,5,,
IPOs,1986-08,1986-Q3,1986,6,,
IPOs,1986-09,1986-Q3,1986,5,,
IPOs,1986-10,1986-Q4,1986,1,,
IPOs,1986-11,1986-Q4,1986,5,,
IPOs,1986-12,1986-Q4,1986,4,,
IPOs,1987-01,1987-Q1,1987,2,,
IPOs,1987-02,1987-Q1,1987,3,,
IPOs,1987-03,1987-Q1,1987,1,,
IPOs,1987-04,1987-Q2,1987,4,,
IPOs,1987-05,1987-Q2,1987,2,,
IPOs,1987-06,1987-Q2,1987,8,,
IPOs,1987-07,1987-Q3,1987,3,,
IPOs,1987-08,1987-Q3,1987,9,,
IPOs,1987-09,1987-Q3,1987,2,,
IPOs,1987-10,1987-Q4,1987,3,,
IPOs,1987-12,1987-Q4,1987,2,,
IPOs,1988-02,1988-Q1,1988,1,,
IPOs,1988-03,1988-Q1,1988,1,,
IPOs,1988-04,1988-Q2,1988,3,,
IPOs,1988-06,1988-Q2,1988,2,,
IPOs,1988-07,1988-Q3,1988,4,,
IPOs,1988-08,1988-Q3,1988,3,,
IPOs,1988-09,1988-Q3,1988,1,,
IPOs,1988-10,1988-Q4,1988,7,,
IPOs,1988-11,1988-Q4,1988,2,,
IPOs,1989-01,1989-Q1,1989,2,,
IPOs,1989-02,1989-Q1,1989,2,,
IPOs,1989-03,1989-Q1,1989,1,,
IPOs,1989-04,1989-Q2,1989,1,,
IPOs,1989-05,1989-Q2,1989,1,,
IPOs,1989-06,1989-Q2,1989,3,,
IPOs,1989-07,1989-Q3,1989,1,,
IPOs,1989-08,1989-Q3,1989,1,,
IPOs,1989-09,1989-Q3,1989,1,,
IPOs,1989-10,1989-Q4,1989,4,,
IPOs,1989-11,1989-Q4,1989,4,,
IPOs,1989-12,1989-Q4,1989,2,,
IPOs,1990-01,1990-Q1,1990,23,,
IPOs,1990-02,1990-Q1,1990,2,,
IPOs,1990-03,1990-Q1,1990,12,,
IPOs,1990-04,1990-Q2,1990,2,,
IPOs,1990-05,1990-Q2,1990,6,,
IPOs,1990-06,1990-Q2,1990,2,,
IPOs,1990-07,1990-Q3,1990,5,,
IPOs,1990-08,1990-Q3,1990,2,,
IPOs,1990-10,1990-Q4,1990,2,,
IPOs,1990-11,1990-Q4,1990,1,,
IPOs,1990-12,1990-Q4,1990,4,,
IPOs,1991-01,1991-Q1,1991,5,,
IPOs,1991-02,1991-Q1,1991,1,,
IPOs,1991-03,1991-Q1,1991,3,,
IPOs,1991-04,1991-Q2,1991,4,,
IPOs,1991-05,1991-Q2,1991,4,,
IPOs,1991-06,1991-Q2,1991,3,,
IPOs,1991-07,1991-Q3,1991,3,,
IPOs,1991-08,1991-Q3,1991,4,,
IPOs,1991-09,1991-Q3,1991,2,,
IPOs,1991-10,1991-Q4,1991,2,,
IPOs,1991-11,1991-Q4,1991,5,,
IPOs,1991-12,1991-Q4,1991,5,,
IPOs,1992-01,1992-Q1,1992,11,,
IPOs,1992-02,1992-Q1,1992,6,,
IPOs,1992-03,1992-Q1,1992,7,,
IPOs,1992-04,1992-Q2,1992,2,,
IPOs,1992-05,1992-Q2,1992,8,,
IPOs,1992-06,1992-Q2,1992,11,,
IPOs,1992-07,1992-Q3,1992,2,,
IPOs,1992-08,1992-Q3,1992,5,,
IPOs,1992-09,1992-Q3,1992,2,,
IPOs,1992-10,1992-Q4,1992,7,,
IPOs,1992-11,1992-Q4,1992,7,,
IPOs,1992-12,1992-Q4,1992,8,,
IPOs,1993-01,1993-Q1,1993,5,,
IPOs,1993-02,1993-Q1,1993,4,,
IPOs,1993-03,1993-Q1,1993,7,,
IPOs,1993-04,1993-Q2,1993,9,,
IPOs,1993-05,1993-Q2,1993,6,,
IPOs,1993-06,1993-Q2,1993,5,,
IPOs,1993-07,1993-Q3,1993,6,,
IPOs,1993-08,1993-Q3,1993,6,,
IPOs,1993-09,1993-Q3,1993,4,,
IPOs,1993-10,1993-Q4,1993,8,,
IPOs,1993-11,1993-Q4,1993,13,,
IPOs,1993-12,1993-Q4,1993,12,,
IPOs,1994-01,1994-Q1,1994,10,,
IPOs,1994-02,1994-Q1,1994,5,,
IPOs,1994-03,1994-Q1,1994,13,,
IPOs,1994-04,1994-Q2,1994,7,,
IPOs,1994-05,1994-Q2,1994,3,,
IPOs,1994-06,1994-Q2,1994,4,,
IPOs,1994-07,1994-Q3,1994,7,,
IPOs,1994-08,1994-Q3,1994,3,,
IPOs,1994-09,1994-Q3,1994,3,,
IPOs,1994-10,1994-Q4,1994,5,,
IPOs,1994-11,1994-Q4,1994,10,,
IPOs,1994-12,1994-Q4,1994,7,,
IPOs,1995-01,1995-Q1,1995,8,,
IPOs,1995-02,1995-Q1,1995,5,,
IPOs,1995-03,1995-Q1,1995,5,,
IPOs,1995-04,1995-Q2,1995,4,,
IPOs,1995-05,1995-Q2,1995,3,,
IPOs,1995-06,1995-Q2,1995,9,,
IPOs,1995-07,1995-Q3,1995,5,,
IPOs,1995-08,1995-Q3,1995,6,,
IPOs,1995-09,1995-Q3,1995,4,,
IPOs,1995-10,1995-Q4,1995,8,,
IPOs,1995-11,1995-Q4,1995,15,,
IPOs,1995-12,1995-Q4,1995,13,,
IPOs,1996-01,1996-Q1,1996,15,,
IPOs,1996-02,1996-Q1,1996,6,,
IPOs,1996-03,1996-Q1,1996,6,,
IPOs,1996-04,1996-Q2,1996,9,,
IPOs,1996-05,1996-Q2,1996,14,,
IPOs,1996-06,1996-Q2,1996,9,,
IPOs,1996-07,1996-Q3,1996,9,,
IPOs,1996-08,1996-Q3,1996,9,,
IPOs,1996-09,1996-Q3,1996,4,,
IPOs,1996-10,1996-Q4,1996,12,,
IPOs,1996-11,1996-Q4,1996,13,,
IPOs,1996-12,1996-Q4,1996,9,,
IPOs,1997-01,1997-Q1,1997,38,,
IPOs,1997-02,1997-Q1,1997,50,,
IPOs,1997-03,1997-Q1,1997,32,,
IPOs,1997-04,1997-Q2,1997,28,,
IPOs,1997-05,1997-Q2,1997,28,,
IPOs,1997-06,1997-Q2,1997,52,,
IPOs,1997-07,1997-Q3,1997,53,,
IPOs,1997-08,1997-Q3,1997,10,,
IPOs,1997-09,1997-Q3,1997,6,,
IPOs,1997-10,1997-Q4,1997,72,,
IPOs,1997-11,1997-Q4,1997,81,,
IPOs,1997-12,1997-Q4,1997,39,,
IPOs,1998-01,1998-Q1,1998,22,,
IPOs,1998-02,1998-Q1,1998,7,,
IPOs,1998-03,1998-Q1,1998,38,,
IPOs,1998-04,1998-Q2,1998,46,,
IPOs,1998-05,1998-Q2,1998,50,,
IPOs,1998-06,1998-Q2,1998,56,,
IPOs,1998-07,1998-Q3,1998,55,,
IPOs,1998-08,1998-Q3,1998,25,,
IPOs,1998-09,1998-Q3,1998,8,,
IPOs,1998-10,1998-Q4,1998,7,,
IPOs,1998-11,1998-Q4,1998,18,,
IPOs,1998-12,1998-Q4,1998,33,,
IPOs,1999-01,1999-Q1,1999,24,,
IPOs,1999-02,1999-Q1,1999,41,,
IPOs,1999-03,1999-Q1,1999,25,,
IPOs,1999-04,1999-Q2,1999,68,,
IPOs,1999-05,1999-Q2,1999,26,,
IPOs,1999-06,1999-Q2,1999,70,,
IPOs,1999-07,1999-Q3,1999,66,,
IPOs,1999-08,1999-Q3,1999,47,,
IPOs,1999-09,1999-Q3,1999,42,,
IPOs,1999-10,1999-Q4,1999,64,,
IPOs,1999-11,1999-Q4,1999,11,,
IPOs,1999-12,1999-Q4,1999,48,,
IPOs,2000-01,2000-Q1,2000,57,,
IPOs,2000-02,2000-Q1,2000,12,,
IPOs,2000-03,2000-Q1,2000,8,,
IPOs,2000-04,2000-Q2,2000,20,,
IPOs,2000-05,2000-Q2,2000,4,,
IPOs,2000-06,2000-Q2,2000,26,,
IPOs,2000-07,2000-Q3,2000,19,,
IPOs,2000-08,2000-Q3,2000,18,,
IPOs,2000-09,2000-Q3,2000,21,,
IPOs,2000-10,2000-Q4,2000,13,,
IPOs,2000-11,2000-Q4,2000,5,,
IPOs,2000-12,2000-Q4,2000,9,,
IPOs,2001-01,2001-Q1,2001,8,,
IPOs,2001-02,2001-Q1,2001,14,,
IPOs,2001-03,2001-Q1,2001,11,,
IPOs,2001-04,2001-Q2,2001,6,,
IPOs,2001-05,2001-Q2,2001,3,,
IPOs,2001-06,2001-Q2,2001,22,,
IPOs,2001-07,2001-Q3,2001,10,,
IPOs,2001-08,2001-Q3,2001,11,,
IPOs,2001-09,2001-Q3,2001,5,,
IPOs,2001-10,2001-Q4,2001,16,,
IPOs,2001-11,2001-Q4,2001,18,,
IPOs,2001-12,2001-Q4,2001,23,,
IPOs,2002-01,2002-Q1,2002,10,,
IPOs,2002-02,2002-Q1,2002,12,,
IPOs,2002-03,2002-Q1,2002,11,,
IPOs,2002-04,2002-Q2,2002,12,,
IPOs,2002-05,2002-Q2,2002,18,,
IPOs,2002-06,2002-Q2,2002,29,,
IPOs,2002-07,2002-Q3,2002,13,,
IPOs,2002-08,2002-Q3,2002,6,,
IPOs,2002-09,2002-Q3,2002,4,,
IPOs,2002-10,2002-Q4,2002,12,,
IPOs,2002-11,2002-Q4,2002,14,,
IPOs,2002-12,2002-Q4,2002,14,,
IPOs,2003-01,2003-Q1,2003,80,,
IPOs,2003-02,2003-Q1,2003,5,,
IPOs,2003-03,2003-Q1,2003,7,,
IPOs,2003-04,2003-Q2,2003,3,,
IPOs,2003-05,2003-Q2,2003,6,,
IPOs,2003-06,2003-Q2,2003,6,,
IPOs,2003-07,2003-Q3,2003,18,,
IPOs,2003-08,2003-Q3,2003,10,,
IPOs,2003-09,2003-Q3,2003,15,,
IPOs,2003-10,2003-Q4,2003,23,,
IPOs,2003-11,2003-Q4,2003,24,,
IPOs,2003-12,2003-Q4,2003,25,,
IPOs,2004-01,2004-Q1,2004,10,,
IPOs,2004-02,2004-Q1,2004,19,,
IPOs,2004-03,2004-Q1,2004,17,,
IPOs,2004-04,2004-Q2,2004,22,,
IPOs,2004-05,2004-Q2,2004,17,,
IPOs,2004-06,2004-Q2,2004,40,,
IPOs,2004-07,2004-Q3,2004,37,,
IPOs,2004-08,2004-Q3,2004,25,,
IPOs,2004-09,2004-Q3,2004,23,,
IPOs,2004-10,2004-Q4,2004,39,,
IPOs,2004-11,2004-Q4,2004,23,,
IPOs,2004-12,2004-Q4,2004,37,,
IPOs,2005-01,2005-Q1,2005,16,,
IPOs,2005-02,2005-Q1,2005,31,,
IPOs,2005-03,2005-Q1,2005,13,,
IPOs,2005-04,2005-Q2,2005,17,,
IPOs,2005-05,2005-Q2,2005,18,,
IPOs,2005-06,2005-Q2,2005,7,,
IPOs,2005-07,2005-Q3,2005,33,,
IPOs,2005-08,2005-Q3,2005,38,,
IPOs,2005-09,2005-Q3,2005,20,,
IPOs,2005-10,2005-Q4,2005,21,,
IPOs,2005-11,2005-Q4,2005,26,,
IPOs,2005-12,2005-Q4,2005,28,,
IPOs,2006-01,2006-Q1,2006,19,,
IPOs,2006-02,2006-Q1,2006,36,,
IPOs,2006-03,2006-Q1,2006,17,,
IPOs,2006-04,2006-Q2,2006,19,,
